server_session_id,subscriber_id,subscriber_name,smart_card_id,view_begin_time,view_end_time,purchase_time,asset_id,asset_name,price,provider_asset_id,provider_id,provider,po_id,po_name,po_type,po_folder,application_id,application_name,ticket_id,lastviewposition,bundle_info,service_package_name,bundle_pid,bundle_paid,service_package_id,entitlement_id,duration,channel_id,channel_name,view_success,teardown_reason,terminate_reason,service_group_id,device_id,content_url,hierarchy_uid,order_id,starttime,endtime,main_bundle_id,tags,total_duration,duration_progress
"56735015818323401271581832342357","5673501581832340127","5673501581832340127","5673501581832340127","2020-02-16 13:52:22","2020-02-16 13:52:28","","10094_GTIT0120170830201063","《学习写得深刻》：一语中的，由表及里","0.0","GTIT0120170830201063","10094","BJSZXXWKC","600010001","北京数字学校微课/高中/高中语文微课/作文","4","","600010001","BJOSH5","56735015818323401271581832342357","0","","","","","","","6.0","","","1","","","","5673501581832340127","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Fnewtrans%2F20170830%2FGMOV0120170830201063%2FGTIT0120170830201063_1200.m3u8%3Fa%3D1%26assetID%3DGTIT0120170830201063%26provider_id%3D10094%26ET%3D1581839539636%26TOKEN%3Db96ae51a6d1639913e15deac99f33c5f%3Fa%3D1%26provider_asset_id%3DGTIT0120170830201063%26ET%3D1581839541446%26TOKEN%3Dfaeb8d8a32ec59c8dd588f13569e6026","","","","","","","420.0","0.01"
"56735015818323401271581832349370","5673501581832340127","5673501581832340127","5673501581832340127","2020-02-16 13:52:29","2020-02-16 13:52:33","","10094_GTIT0120170830201063","《学习写得深刻》：一语中的，由表及里","0.0","GTIT0120170830201063","10094","BJSZXXWKC","600010001","北京数字学校微课/高中/高中语文微课/作文","4","","600010001","BJOSH5","56735015818323401271581832349370","3759","","","","","","","4.0","","","1","","","","5673501581832340127","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Fnewtrans%2F20170830%2FGMOV0120170830201063%2FGTIT0120170830201063_1200.m3u8%3Fa%3D1%26assetID%3DGTIT0120170830201063%26provider_id%3D10094%26ET%3D1581839539636%26TOKEN%3Db96ae51a6d1639913e15deac99f33c5f%3Fa%3D1%26provider_asset_id%3DGTIT0120170830201063%26ET%3D1581839541446%26TOKEN%3Dfaeb8d8a32ec59c8dd588f13569e6026","","","","","","","420.0","0.01"
"7770015818322245601581832226135","777001581832224560","777001581832224560","777001581832224560","2020-02-16 13:50:26","2020-02-16 13:54:40","","10011_GTIT0120121212200055","有余数除法","0.0","GTIT0120121212200055","10011","BJSZXX","600010001","北京数字学校/小学课堂/二年级下/数学","4","","600010001","BJOSH5","7770015818322245601581832226135","11080","","","","","","","254.0","","","1","","","","777001581832224560","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Ftrans%2F20140620%2FGMOV0120140620200399%2FGTIT0120140620200399_1200.m3u8%3Fa%3D1%26assetID%3DGIPC0120121212200055%26provider_id%3D10011%26ET%3D1581839424903%26TOKEN%3Dbad43ff36dcbebd358e2cdc4ca21d15c%3Fa%3D1%26provider_asset_id%3DGTIT0120121212200055%26ET%3D1581839424844%26TOKEN%3D26d3c5cd7bdf4c4a772d96eb5cd960e8","","","","","","","1200.0","0.21"
"63957815818322904971581832293723","6395781581832290497","6395781581832290497","6395781581832290497","2020-02-16 13:51:33","2020-02-16 13:54:20","","30000_FTIT0120200206290070","实数复习课(1)","0.0","FTIT0120200206290070","30000","OTHE","600010001","名师驾到/初中数学/七年级下","4","","600010001","BJOSH5","63957815818322904971581832293723","162389","","","","","","","167.0","","","1","","","","6395781581832290497","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Fnewtrans2%2F20200206%2FFMOV0120200206290070%2FFTIT0120200206290070_1200%2FFTIT0120200206290070_1200.m3u8%3Fa%3D1%26assetID%3DGIPC0120200206290070%26provider_id%3D30000%26ET%3D1581839490846%26TOKEN%3D2597448f7847578b3d58ab6f4a4268c9%3Fa%3D1%26provider_asset_id%3DFTIT0120200206290070%26ET%3D1581839490847%26TOKEN%3D6bdfb9670df94418ba5b6ba7a30d8b8b","","","","","","","300.0","0.56"
"77897615818322289991581832260622","7789761581832228999","7789761581832228999","7789761581832228999","2020-02-16 13:51:00","2020-02-16 13:51:16","","30000_FTIT0120200203289426","平行线","0.0","FTIT0120200203289426","30000","OTHE","600010001","名师驾到/初中数学/七年级下","4","","600010001","BJOSH5","77897615818322289991581832260622","32141","","","","","","","16.0","","","1","","","","7789761581832228999","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Fnewtrans2%2F20200203%2FFMOV0120200203289426%2FFTIT0120200203289426_800%2FFTIT0120200203289426_800.m3u8%3Fa%3D1%26assetID%3DGIPD0120200203289426%26provider_id%3D30000%26ET%3D1581839429282%26TOKEN%3D39b0affdaa8fbcfbd6cbf36fc842e431%3Fa%3D1%26provider_asset_id%3DFTIT0120200203289426%26ET%3D1581839429298%26TOKEN%3D3f3ef5bb1f7ee9dbcf14c5bc2c368574","","","","","","","240.0","0.07"
"77897615818322289991581832230419","7789761581832228999","7789761581832228999","7789761581832228999","2020-02-16 13:50:30","2020-02-16 13:50:30","","30000_FTIT0120200203289426","平行线","0.0","FTIT0120200203289426","30000","OTHE","600010001","名师驾到/初中数学/七年级下","4","","600010001","BJOSH5","77897615818322289991581832230419","0","","","","","","","0.0","","","1","","","","7789761581832228999","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Fnewtrans2%2F20200203%2FFMOV0120200203289426%2FFTIT0120200203289426_1200%2FFTIT0120200203289426_1200.m3u8%3Fa%3D1%26assetID%3DGIPC0120200203289426%26provider_id%3D30000%26ET%3D1581839429282%26TOKEN%3Da55a78cd7bc846d29c2fa4c93fde2397%3Fa%3D1%26provider_asset_id%3DFTIT0120200203289426%26ET%3D1581839429296%26TOKEN%3D43271d288744106eb3be5658ab3e0e89","","","","","","","240.0","0.0"
"22060315818321496251581832160693","2206031581832149625","2206031581832149625","2206031581832149625","2020-02-16 13:49:20","2020-02-16 13:50:21","","30000_FTIT0120200203289462","垂线","0.0","FTIT0120200203289462","30000","OTHE","600010001","名师驾到/初中数学/七年级下","4","","600010001","BJOSH5","22060315818321496251581832160693","58279","","","","","","","61.0","","","1","","","","2206031581832149625","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Fnewtrans2%2F20200203%2FFMOV0120200203289462%2FFTIT0120200203289462_1200%2FFTIT0120200203289462_1200.m3u8%3Fa%3D1%26assetID%3DGIPC0120200203289462%26provider_id%3D30000%26ET%3D1581839349927%26TOKEN%3D48f2bf48ed036b0bf4fff262a44991e8%3Fa%3D1%26provider_asset_id%3DFTIT0120200203289462%26ET%3D1581839349942%26TOKEN%3Db150d654b8238e837318aeb72a47f156","","","","","","","180.0","0.34"
"9928915818324039531581832405909","992891581832403953","992891581832403953","992891581832403953","2020-02-16 13:53:25","2020-02-16 13:53:25","","10011_GTIT0120121205200187","认识100以内的数练习（二）","0.0","GTIT0120121205200187","10011","BJSZXX","600010001","北京数字学校/小学课堂/一年级下/数学","4","","600010001","BJOSH5","9928915818324039531581832405909","0","","","","","","","0.0","","","1","","","","992891581832403953","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Ftrans%2F20140620%2FGMOV0120140620200220%2FGTIT0120140620200220_1200.m3u8%3Fa%3D1%26assetID%3DGIPC0120121205200187%26provider_id%3D10011%26ET%3D1581839601726%26TOKEN%3Df3e04210f41bc07078c1d436d071b21b%3Fa%3D1%26provider_asset_id%3DGTIT0120121205200187%26ET%3D1581839604267%26TOKEN%3D7a77ee39eb3934a26038e0e5cf32e8d7","","","","","","","1200.0","0.0"
"8961115818326897941581832691118","896111581832689794","896111581832689794","896111581832689794","2020-02-16 13:58:11","2020-02-16 13:58:38","","10011_GTIT0120130401200330","小小旅行壶","0.0","GTIT0120130401200330","10011","BJSZXX","600010001","北京数字学校/小学课堂/四年级下/美术","4","","600010001","BJOSH5","8961115818326897941581832691118","1072995","","","","","","","27.0","","","1","","","","896111581832689794","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Ftrans%2F20140507%2FGMOV0120140507200339%2FGTIT0120140507200339_1200.m3u8%3Fa%3D1%26assetID%3DGIPC0120130401200330%26provider_id%3D10011%26ET%3D1581839887522%26TOKEN%3D15f040c8203267f4b896fa287c0408fd%3Fa%3D1%26provider_asset_id%3DGTIT0120130401200330%26ET%3D1581839890003%26TOKEN%3D7c9fc49d24b73a5f0d5f66849a38c18e","","","","","","","1560.0","0.02"
"61739215818324308941581832434808","6173921581832430894","6173921581832430894","6173921581832430894","2020-02-16 13:53:54","2020-02-16 13:55:03","","10011_GTIT0120121205200116","At the airport(1)","0.0","GTIT0120121205200116","10011","BJSZXX","600010001","北京数字学校/小学课堂/五年级下/外语","4","","600010001","BJOSH5","61739215818324308941581832434808","68418","","","","","","","69.0","","","1","","","","6173921581832430894","http%3A%2F%2Fbjyjy.yun.gehua.net.cn%2Fvod%2Ftrans%2F20140623%2FGMOV0120140623200245%2FGTIT0120140623200245_1200.m3u8%3Fa%3D1%26assetID%3DGIPC0120121205200116%26provider_id%3D10011%26ET%3D1581839631793%26TOKEN%3D90cdb319d94d79cbe86b40be3a087f29%3Fa%3D1%26provider_asset_id%3DGTIT0120121205200116%26ET%3D1581839631168%26TOKEN%3D95d3ca7a1b7b8d76d90d0a0ab0708810","","","","","","","1680.0","0.04"
